sentence1,sentenceid1,docid1,sentence2,sentenceid2,docid2,sentence3,sentenceid3,docid3,sentence4,sentenceid4,docid4,sentence5,sentenceid5,docid5
"However , our sponsors and advertisers have agreed that they will not collect any personally identifiable information from our site visitors while they are on MayoClinic.com .",67132,643,"You should read the privacy policies of each site you visit to determine what information that site may be collecting about you .",67134,643,"Some of our advertisers may participate in the Facebook/Nielsen program , which helps advertisers improve their measurement of advertising effectiveness .",67135,643,"Facebook , in turn , discloses only aggregate , de-identified information to Nielsen and the advertiser , not any personally identifiable information from your Facebook profile .",67139,643,"Note that Google , as a third party vendor , uses cookies to serve ads on our site .",67140,643
"No personally identifiable information is collected as part of Google 's process .",67142,643,"Users may opt out of the use of this DART cookie by visiting Google 's privacy document .",67143,643,"If you would like more information about these practices and to know your choices about not having this information used by these companies , visit the Network Advertising Initiative .",67144,643,"Some ad servers allow you to opt out of anonymous data collection through the use of cookies .",67145,643,"You can opt out of cookies for several ad servers by visiting the Network Advertising Initiative gateway opt-out site .",67147,643
"At that site you can also review the privacy policies of those ad servers .",67148,643,"Everyday Health may also use a third party ad network provider , Collective Media , to help present advertisements on this website .",67149,643,"Third party ad serving enables Everyday Health to target advertisements on MayoClinic.com to you for products and services you might be interested in .",67150,643,"These third party network advertisers , along with other advertisers and sponsors on the website , may use cookies , Web beacons ( also called single pixel GIFs or action tags ) or similar technologies ( and , in the case of cookies , access them on your computer if you choose to have cookies enabled in your browser ) to serve you advertisements tailored to interests you have shown by browsing on this and other sites you have visited , to determine whether you have seen a particular advertisement before , to avoid sending you duplicated advertisements and to serve you advertisements on other sites .",67151,643,"The use of third party cookies , Web beacons and similar technologies by these ad network providers is governed by each third party 's specific privacy policy , not this one .",67153,643
"Please visit Network Advertising Initiative to learn more about the information collection practices and opt-out procedures of third party ad networks we may use .",67154,643,"That being said , Mayo Clinic can not ensure or warrant the security of any information you transmit to us , and you do so at your own risk .",67159,643,"We have taken reasonable steps to ensure the integrity and confidentiality of personally identifiable information that you may provide .",67160,643,"You should understand , however , that electronic transmissions via the Internet are not necessarily secure from interception , and so we can not absolutely guarantee the security or confidentiality of such transmissions .",67161,643,"To further protect your privacy , you may choose to :",67162,643
"If you come to a Mayo Clinic website via a Mayo Clinic advertisement , the ad may have been served to you based on your interests or selected for you based on your browsing activities .",67168,643,"Our websites link to other websites , many of which have their own privacy policies .",67172,643,"We may need to update our privacy policy as technology changes and Mayo Clinic evolves .",67174,643,"If you 've contacted the website about a privacy-related concern and you do not believe your problem has been addressed , you may file a complaint with the Mayo Clinic chief security officer by calling the Mayo Clinic general number at 507-284-2511 and asking for the chief security officer .",67179,643,"We respect your privacy and are committed to protecting personally identifiable information you may provide us through our Website .",68443,654
"We have adopted this Privacy Policy ( `` Privacy Policy '' ) to explain what information may be collected on our Website , how we use this information , including our successors , parents , subsidiaries , affiliates , and related companies , and under what circumstances we may disclose the information to third parties .",68444,654,"This Privacy Policy , together with the Terms of Use posted on our Website , sets forth the general rules and policies governing your use of our Website .",68446,654,"Depending on your activities when visiting our Website , you may be required to agree to additional terms and conditions .",68447,654,"We generally keep this Privacy Policy posted on our Website and you should review it frequently , as it may change from time to time without notice .",68448,654,"IF YOU DO NOT AGREE TO THIS PRIVACY POLICY , OR TO ANY CHANGES WE MAY SUBSEQUENTLY MAKE , IMMEDIATELY STOP ACCESSING OUR WEBSITE .",68451,654
"Our Website typically collects two kinds of information about you : ( a ) information that you provide that personally identifies you ; and ( b ) information that does not personally identify you that we automatically collect when you visit our Website or that you provide us .",68452,654,"( 1 ) Personally Identifiable Information :",68453,654,"Our definition of personally identifiable information includes any information that may be used to specifically identify or contact you , such as your name , mail address , phone number , etc .",68454,654,"As a general policy , we do not automatically collect your personally identifiable information when you visit our Website .",68455,654,"In certain circumstances , we may request , allow or otherwise provide you an opportunity to submit your personally identifiable information in connection with a feature , program promotion or some other aspect of our Website .",68456,654
"For instance , you may : ( a ) provide your name , address , email address , and phone number when registering with our Website , or in connection with a contest entry ; ( b ) provide certain demographic information about you ( e.g. , age , gender , purchase preference , usage frequency , etc . ) when participating in a survey , poll or joining a club ; or ( c ) post a general comment and/or recommendation on our Website .",68457,654,"Certain information may not be personally identifiable when standing alone ( e.g. , your age ) , but may become so when combined with other information ( e.g. , your age and name ) .",68458,654,"Whether or not you provide this information is your choice ; however , in many instances this type of information is required to participate in the particular activity , realize a benefit we may offer , or gain access to certain content on our Website .",68459,654,"Non-personal information can include certain personally identifiable information that has been de-identified ; that is , information that has been rendered anonymous .",68462,654,"We obtain non-personal information about you from information that you provide us , either separately or together with your personally identifiable information .",68463,654
"We also automatically collect certain non-personal information from you when you access our Website .",68464,654,"This information can include , among other things , IP addresses , the type of browser you are using ( e.g. , Internet Explorer , Firefox , Safari , etc . ) , the third party website from which your visit originated , the operating system you are using ( e.g. , Vista , Windows XP , Mac OS , etc . ) , the domain name of your Internet service provider ( e.g. , America Online , NetZero , etc . ) , the search terms you use on our Website , the specific web pages you visit , and the duration of your visits .",68465,654,"( 1 ) Personally Identifiable Information :",68467,654,"The personally identifiable information you submit to us is generally used to carry out your requests , respond to your inquiries , better serve you , or in other ways naturally associated with the circumstances in which you provided the information .",68468,654,"We may also use this information to later contact you for a variety of reasons , such as customer service , providing you promotional information for our products or those of our parent company , subsidiaries or other affiliated companies ( `` affiliated companies '' ) , or to communicate with you about content or other information you have posted or shared with us via our Website .",68469,654
"We may share or sell your personally identifiable information with third parties such as our co-promotional partners , list rental/purchasing agencies , and persons or entities with whom we have marketing , business , or other relationships .",68470,654,"You may opt-out from receiving future promotional information from us or our affiliated companies , or direct that we not share your information with any affiliated companies , as set forth below .",68471,654,"Whether or not you opt-out is your choice ; however , in many instances this type of information is required to participate in the particular activity , realize a benefit we may offer , or gain access to certain content on our Website .",68472,654,"We may use your non-personal information by itself or aggregate it with information we have obtained from others .",68475,654,"We may share your non-personal information with our affiliated companies and third parties to achieve these objectives and others , but remember that aggregate information is anonymous information that does not personally identify you .",68476,654
"When visitors request pages from our Website , our servers typically log their IP addresses .",68481,654,"We collect IP addresses for purposes of system administration , to report non-personal aggregate information to others , and to track the use of our Website .",68482,654,"IP addresses are considered non-personal information and may also be shared as provided above .",68483,654,"It is not our practice to link IP addresses to anything personally identifiable ; that is , the visitor 's session will be logged , but the visitor remains anonymous to us .",68484,654,"However , we reserve the right to use IP addresses to identify a visitor when we feel it is necessary to enforce compliance with our Website rules or to : ( a ) fulfill a government request ; ( b ) conform with the requirements of the law or legal process ; ( c ) protect or defend our legal rights or property , our Website , or other users ; or ( d ) in an emergency to protect the health and safety of our Website 's users or the general public .",68485,654
"These text files make using our Website more convenient by , among other things , saving your passwords and preferences for you .",68488,654,"Cookies themselves do not typically contain any personally identifiable information .",68489,654,"We may analyze the information derived from these cookies and other technological tools we employ ( such as clear gifs/web beacons ) and match this information with data provided by you or another party .",68490,654,"We may provide our analysis and certain non-personal information to third parties ( who may in turn use this information to provide advertisements tailored to your interests ) , but this will not involve disclosing any of your personally identifiable information .",68491,654,"Please note that advertisers that serve advertisements on our Website and third-party content providers that serve content on our Website may also use their own cookies and other technological tools which are subject to the advertiser 's privacy policies , not this Privacy Policy .",68492,654
"If you are concerned about the storage and use of cookies , you may be able to direct your internet browser to notify you and seek approval whenever a cookie is being sent to your hard drive .",68493,654,"You may also delete a cookie manually from your hard drive through your internet browser or other programs .",68494,654,"Please note , however , that some parts of our Website will not function properly or be available to you if you refuse to accept a cookie or choose to disable the acceptance of cookies .",68495,654,"If you send us an email with questions or comments , we may use your personally identifiable information to respond to your questions or comments , and we may save your questions or comments for future reference .",68497,654,"In certain instances , we may provide you with the option to set your preferences for receiving email communications from us ; that is , agree to some communications but not others .",68500,654
"You may `` opt out '' of receiving future commercial email communications from us by following the instructions at the bottom of most emails we send , or as provided below ; provided , however , we reserve the right to send you transactional emails such as customer service communications .",68501,654,"As we continue to develop our business , we may sell or purchase assets .",68503,654,"If another entity acquires us or all ( or substantially all ) of our assets , the personally identifiable information and non-personal information we have about you will be transferred to and used by this acquiring entity , though we will take reasonable steps to ensure that your preferences are followed .",68504,654,"Also , if any bankruptcy or reorganization proceeding is brought by or against us , all such information may be considered an asset of ours and as such may be sold or transferred to third parties .",68505,654,"Notwithstanding anything herein to the contrary , we reserve the right to disclose any personally identifiable or non-personal information about you if we are required to do so by law , with respect to copyright and other intellectual property infringement claims , or if we believe that such action is necessary to : ( a ) fulfill a government request ; ( b ) conform with the requirements of the law or legal process ; ( c ) protect or defend our legal rights or property , our Website , or other users ; or ( d ) in an emergency to protect the health and safety of our Website 's users or the general public .",68507,654
"Residents of the State of California , under certain provisions of the California Civil Code , have the right to request from companies conducting business in California a list of all third parties to which the company has disclosed certain personally identifiable information as defined under California law during the preceding year for third party direct marketing purposes .",68509,654,"We may offer chat rooms , blogs , message boards , bulletin boards , or similar public forums where you and other users of our Website can communicate .",68512,654,"We may use personally identifiable and non-personal information about you to identify you with a posting in a public forum .",68514,654,"Any information you share in a public forum is public information and may be seen or collected by anyone , including third parties that do not adhere to our Privacy Policy .",68515,654,"We may provide you with the opportunity to register for special promotions , services , and information delivered via text messaging and other wireless devices such as mobile phones and , in the event we do so , users are required to provide their consent to receive such information , either by registering on the Website or via their wireless device .",68517,654
"Such services and promotional opportunities are provided by our third party affiliates .",68518,654,"The information requested as part of the online registration process may include your telephone number or a wireless email address , but only if specifically requested , and the carrier 's name .",68519,654,"Additional information may be requested for specific promotions .",68520,654,"Depending on the promotion , we may also collect an email address or other contact information , and you may also be required to confirm your agreement to this Privacy Policy and the Terms of Use .",68521,654,"You may cancel one or more services via your wireless device at any time by using the unsubscribe mechanism provided by at the time the message is sent , or by sending a text message that says `` UNSUBSCRIBE . ''",68525,654
"We will then terminate your registration for the most recent wireless service sent to you .",68526,654,"You understand , acknowledge and agree that we may , in our sole discretion and without liability to any user , terminate its offer of any specific wireless marketing service or all wireless marketing services at any time without advance notice .",68528,654,"We may provide notice of terminations or changes in services on this Website .",68529,654,"The features , programs , promotions and other aspects of our Website requiring the submission of personally identifiable information are not intended for anyone under 18 years of age .",68530,654,"We do not knowingly collect personally identifiable information from children under the age of 13 .",68531,654
"A parent or guardian of a child under the age of 13 may review and request deletion of such child 's personally identifiable information as well as prohibit the use thereof .",68532,654,"We have implemented security measures we consider reasonable and appropriate to protect against the loss , misuse and alteration of the information under our control .",68534,654,"Please be advised , however , that while we strive to protect your personally identifiable information and privacy , we can not guarantee or warrant the security of any information you disclose or transmit to us online and are not responsible for the theft , destruction , or inadvertent disclosure of your personally identifiable information .",68535,654,"In the unfortunate event that your `` personally identifiable information '' ( as the term or similar terms are defined by any applicable law requiring notice upon a security breach ) is compromised , we may notify you by e-mail ( at our sole and absolute discretion ) to the last e-mail address you have provided us in the most expedient time reasonable under the circumstances ; provided , however , delays in notification may occur while we take necessary measures to determine the scope of the breach and restore reasonable integrity to the system as well as for the legitimate needs of law enforcement if notification would impede a criminal investigation .",68536,654,"From time to time we evaluate new technology for protecting information , and when appropriate , we upgrade our information security systems .",68537,654
"Our Website may link to or contain links to other third party websites that we do not control or maintain , such as in connection with purchasing products referenced on our Website and banner advertisements .",68538,654,"We are not responsible for the privacy practices employed by any third party website .",68539,654,"We encourage you to note when you leave our Website and to read the privacy statements of all third party websites before submitting any personally identifiable information .",68540,654,"We will respond to your request and , if applicable and appropriate , make the requested change in our active databases as soon as reasonably practicable .",68542,654,"Please note that we may not be able to fulfill certain requests while allowing you access to certain benefits and features of our Website .",68543,654
"We do not sell , trade , exchange or otherwise make available any personally identifiable information to any other team or organization .",69619,662,"We may update this policy .",69620,662,"If you share a mind map with other users , they are part of your friend network and can access your name , email and Skype information .",69622,662,"We will maintain all user created data and information in strict confidence ( unless a user wishes to publish it ) and we will take the same degree of care to protect that information as we would employ to protect similar information belonging to us .",69625,662,"`` Content '' includes the text , software , scripts , graphics , photos , sounds , music , videos , audiovisual combinations , interactive features and other materials you may view on , access through , or contribute to the Service .",70035,669
"The Service includes all aspects of mobile9 , including but not limited to all products , software and services offered via the mobile9 website , such as the mobile9 `` flash widget , '' and other mobile phone applications .",70036,669,"The Service may contain links to third party websites that are not owned or controlled by mobile9 .",70037,669,"mobile9 has no control over , and assumes no responsibility for , the content , privacy policies , or practices of any third party websites .",70038,669,"In addition , mobile9 will not and can not censor or edit the content of any third-party site .",70039,669,"In order to access some features of the Service , you will have to create a mobile9 account .",70042,669
"You may never use another 's account without permission .",70043,669,"Although mobile9 will not be liable for your losses caused by any unauthorized use of your account , you may be liable for the losses of mobile9 or others due to such unauthorized use .",70047,669,"You can refer to our premium package plans for more details on premium accounts subscriptions .",70049,669,"If you would like to cancel your subscription , switch to another premium service package or if you believe someone has accessed your account without your authorization , please contact us at mobile9 .",70055,669,"You must not share your username and password with anyone else or allow anyone else to access the Site using your username and password .",70057,669
"You warrant that you own or have necessary licenses , rights , consents and permissions to publish the contents .",70059,669,"General Use of the Service-Permissions and Restrictions",70064,669,"You agree not to access Content through any technology or means other than the download page of the Service itself , the Flash Widget , or other explicitly authorized means mobile9 may designate .",70068,669,"If you use the Flash Widget on your website , you may not modify , build upon , or block any portion or functionality of the Flash Widget , including but not limited to links back to the mobile9 website .",70076,669,"You agree not to use or launch any automated system , including without limitation , `` robots , '' `` spiders , '' or `` offline readers , '' that accesses the Service in a manner that sends more request messages to the mobile9 servers in a given period of time than a human can reasonably produce in the same period by using a conventional on-line web browser .",70077,669
"Notwithstanding the foregoing , mobile9 grants the operators of public search engines permission to use spiders to copy materials from the site for the sole purpose of and solely to the extent necessary for creating publicly available searchable indices of the materials , but not caches or archives of such materials .",70078,669,"mobile9 reserves the right to revoke these exceptions either generally or in specific cases .",70079,669,"You agree not to collect or harvest any personally identifiable information , including account names , from the Service , nor to use the communication systems provided by the Service ( e.g. , comments , email ) for any commercial solicitation purposes .",70080,669,"You agree not to create posts , publish or distribute contents to mobile9 of any kind that is , within the sole dicretion of mobile9 , determined to be commercial , illegal , offensive or potentially harmful to others including but not limited to content that :",70082,669,"Infringes upon the rights of any third party , including but not limited to copyrights , trademarks , patents , trade secrets , design rights , moral rights or other third party proprietary rights , including privacy and publicity rights .",70083,669
"Files/contents should not contain third party copyrighted material , or material that is subject to other third party proprietary rights , unless you have permission from the rightful owner of the material or you are otherwise legally entitled to post the material and to grant mobile9 all of the license rights granted herein ;",70084,669,"Promotes the infringement of copyright or other third party rights , e.g . providing a list of hyperlinks to websites that contain pirated software or media files , hacking/cracking , etc . ;",70085,669,"Violates the privacy of others , including but not limited to posting the photograph of another person without that person 's consent ;",70091,669,"Solicits information from anyone under the age of 18 ;",70092,669,"In addition to the general restrictions above , the following restrictions and conditions apply specifically to your use of Content .",70099,669
"All brand , product and service names used in this Service which identify mobile9 or third parties and their products and services are proprietary marks of mobile9 and/or the relevant third parties .",70100,669,"Nothing in this Service shall be deemed to confer on any person any license or right on the part of mobile9 or any third party with respect to any such image , logo or name .",70101,669,"You may access Content for your information and personal use solely as intended through the provided functionality of the Service and as permitted under these Terms of Service .",70103,669,"You further understand and acknowledge that you may be exposed to Content that is inaccurate , offensive , indecent , or objectionable , and you agree to waive , and hereby do waive , any legal or equitable rights or remedies you have or may have against mobile9 with respect thereto , and , to the extent permitted by applicable law , agree to indemnify and hold harmless mobile9 , its owners , operators , affiliates , licensors , and licensees to the fullest extent allowed by law regarding all matters related to your use of the Service .",70109,669,"As a mobile9 account holder you may submit Content to the Service , including graphics ( themes , wallpapers , screensavers , etc ) , softwares and user comments .",70111,669
"You affirm , represent , and warrant that you own or have the necessary licenses , rights , consents , and permissions to publish Content you submit ; and you license to mobile9 all patent , trademark , trade secret , copyright or other proprietary rights in and to such Content for publication on the Service pursuant to these Terms of Service .",70114,669,"However , by submitting Content to mobile9 , you hereby grant mobile9 a worldwide , non-exclusive , royalty-free , sublicenseable and transferable license to use , reproduce , distribute , prepare derivative works of , display , and perform the Content in connection with the Service and mobile9 's ( and its successors ' and affiliates ' ) business , including without limitation for promoting and redistributing part or all of the Service ( and derivative works thereof ) in any media formats and through any media channels .",70116,669,"You understand and agree , however , that mobile9 may retain , but not display , distribute , or perform , server copies of your Content that have been removed or deleted .",70119,669,"You further agree that Content you submit to the Service will not contain third party copyrighted material , or material that is subject to other third party proprietary rights , unless you have permission from the rightful owner of the material or you are otherwise legally entitled to post the material and to grant mobile9 all of the license rights granted herein .",70121,669,"mobile9 has no ability to control the Content you may upload , post or otherwise transmit using the Service and does not have any obligation to monitor such Content for any purpose .",70125,669
"mobile9 will terminate a user 's access to the Service if , under appropriate circumstances , the user is determined to be a repeat infringer .",70127,669,"mobile9 reserves the right to decide whether Content violates these Terms of Service for reasons other than copyright infringement , such as , but not limited to , pornography , obscenity .",70128,669,"mobile9 may at any time , without prior notice and in its sole discretion , remove such Content and/or terminate a user 's account for submitting such material in violation of these Terms of Service .",70129,669,"You can choose to opt-out of Google Analytics for Display Advertising and customize Google Display Network ads using the Ads Settings .",70132,669,"mobile9 will not facilitate the merging of personally-identifiable information with non-personally identifiable information previously collected from Display Advertising features that is based on the DoubleClick cookie unless mobile9 have robust notice of , and the your prior affirmative ( i.e. , opt-in ) consent to , that merger .",70133,669
"mobile9 may use data from Google 's Interest-based advertising or 3rd-party audience data ( such as age , gender and interests ) with Google Analytics .",70135,669,"MOBILE9 MAKES NO WARRANTIES OR REPRESENTATIONS ABOUT THE ACCURACY OR COMPLETENESS OF THIS SITE 'S CONTENT OR THE CONTENT OF ANY SITES LINKED TO THIS SITE AND ASSUMES NO LIABILITY OR RESPONSIBILITY FOR ANY ( I ) ERRORS , MISTAKES , OR INACCURACIES OF CONTENT , ( II ) PERSONAL INJURY OR PROPERTY DAMAGE , OF ANY NATURE WHATSOEVER , RESULTING FROM YOUR ACCESS TO AND USE OF OUR SERVICES , ( III ) ANY UNAUTHORIZED ACCESS TO OR USE OF OUR SECURE SERVERS AND/OR ANY AND ALL PERSONAL INFORMATION AND/OR FINANCIAL INFORMATION STORED THEREIN , ( IV ) ANY INTERRUPTION OR CESSATION OF TRANSMISSION TO OR FROM OUR SERVICES , ( IV ) ANY BUGS , VIRUSES , TROJAN HORSES , OR THE LIKE WHICH MAY BE TRANSMITTED TO OR THROUGH OUR SERVICES BY ANY THIRD PARTY , AND/OR ( V ) ANY ERRORS OR OMISSIONS IN ANY CONTENT OR FOR ANY LOSS OR DAMAGE OF ANY KIND INCURRED AS A RESULT OF THE USE OF ANY CONTENT POSTED , EMAILED , TRANSMITTED , OR OTHERWISE MADE AVAILABLE VIA THE SERVICES .",70139,669,"MOBILE9 DOES NOT WARRANT , ENDORSE , GUARANTEE , OR ASSUME RESPONSIBILITY FOR ANY PRODUCT OR SERVICE ADVERTISED OR OFFERED BY A THIRD PARTY THROUGH THE SERVICES OR ANY HYPERLINKED SERVICES OR FEATURED IN ANY BANNER OR OTHER ADVERTISING , AND MOBILE9 WILL NOT BE A PARTY TO OR IN ANY WAY BE RESPONSIBLE FOR MONITORING ANY TRANSACTION BETWEEN YOU AND THIRD-PARTY PROVIDERS OF PRODUCTS OR SERVICES .",70140,669,"AS WITH THE PURCHASE OF A PRODUCT OR SERVICE THROUGH ANY MEDIUM OR IN ANY ENVIRONMENT , YOU SHOULD USE YOUR BEST JUDGMENT AND EXERCISE CAUTION WHERE APPROPRIATE .",70141,669,"IN NO EVENT SHALL MOBILE9 , ITS OFFICERS , DIRECTORS , EMPLOYEES , OR AGENTS , BE LIABLE TO YOU FOR ANY DIRECT , INDIRECT , INCIDENTAL , SPECIAL , PUNITIVE , OR CONSEQUENTIAL DAMAGES WHATSOEVER RESULTING FROM ANY ( I ) ERRORS , MISTAKES , OR INACCURACIES OF CONTENT , ( II ) PERSONAL INJURY OR PROPERTY DAMAGE , OF ANY NATURE WHATSOEVER , RESULTING FROM YOUR ACCESS TO AND USE OF OUR SERVICES , ( III ) ANY UNAUTHORIZED ACCESS TO OR USE OF OUR SECURE SERVERS AND/OR ANY AND ALL PERSONAL INFORMATION AND/OR FINANCIAL INFORMATION STORED THEREIN , ( IV ) ANY INTERRUPTION OR CESSATION OF TRANSMISSION TO OR FROM OUR SERVICES , ( IV ) ANY BUGS , VIRUSES , TROJAN HORSES , OR THE LIKE , WHICH MAY BE TRANSMITTED TO OR THROUGH OUR SERVICES BY ANY THIRD PARTY , AND/OR ( V ) ANY ERRORS OR OMISSIONS IN ANY CONTENT OR FOR ANY LOSS OR DAMAGE OF ANY KIND INCURRED AS A RESULT OF YOUR USE OF ANY CONTENT POSTED , EMAILED , TRANSMITTED , OR OTHERWISE MADE AVAILABLE VIA THE SERVICES , WHETHER BASED ON WARRANTY , CONTRACT , TORT , OR ANY OTHER LEGAL THEORY , AND WHETHER OR NOT THE COMPANY IS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES .",70142,669
"YOU SPECIFICALLY ACKNOWLEDGE THAT MOBILE9 SHALL NOT BE LIABLE FOR CONTENT OR THE DEFAMATORY , OFFENSIVE , OR ILLEGAL CONDUCT OF ANY THIRD PARTY AND THAT THE RISK OF HARM OR DAMAGE FROM THE FOREGOING RESTS ENTIRELY WITH YOU .",70144,669,"mobile9 makes no representations that the Service is appropriate or available for use in other locations .",70146,669,"To the extent permitted by applicable law , you agree to defend , indemnify and hold harmless mobile9 , its parent corporation , officers , directors , employees and agents , from and against any and all claims , damages , obligations , losses , liabilities , costs or debt , and expenses ( including but not limited to attorney 's fees ) arising from : ( i ) your use of and access to the Service ; ( ii ) your violation of any term of these Terms of Service ; ( iii ) your violation of any third party right , including without limitation any copyright , property , or privacy right ; or ( iv ) any claim that your Content caused damage to a third party .",70148,669,"These Terms of Service , and any rights and licenses granted hereunder , may not be transferred or assigned by you , but may be assigned by mobile9 without restriction .",70152,669,"You agree that : ( i ) the Service shall be deemed solely based in the California ; and ( ii ) the Service shall be deemed a passive website that does not give rise to personal jurisdiction over mobile9 , either specific or general , in jurisdictions other than California .",70153,669
"To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used .",71225,678,"To make this notice easy to find , we make it available on our home page and at every point where personally identifiable information may be requested .",71226,678,"On some pages , you can order products , make requests , and register to receive materials .",71229,678,"On your league page , you may voluntarily enter contact information that makes it easier for league members to contact you , including :",71231,678,"We do not share this information with outside parties except to the extent necessary to complete that order .",71236,678
"It is important to realize that anyone ( not just your league members ) may view your personal ( non-MFL ) web site if defined , but the contact information you enter on your league page is only seen by league members while they are logged in .",71238,678,"Finally , we never use or share the personally identifiable information provided to us online in ways unrelated to the ones described above without also providing you an opportunity to opt-out or otherwise prohibit such unrelated uses .",71241,678,"To prevent unauthorized access , maintain data accuracy , and ensure the correct use of information , we have put in place appropriate physical , electronic , and managerial procedures to safeguard and secure the information we collect online .",71243,678,"For that reason , we never collect or maintain information at our website from those we actually know are under 13 , and no part of our website is structured to attract anyone under 13 .",71246,678,"How You Can Correct Your Information",71247,678
"You can correct factual errors in your personally identifiable information by sending us a request that credibly shows an error .",71248,678,"These NDTV Service Terms together with the Privacy Policy and all other additional terms and information that may be provided within the Service ( collectively Terms ) govern your use of the service , site , content and software ( collectively the `` Service '' ) .",72718,691,"The Terms constitute an agreement between you and New Delhi Television Limited including its affiliates and suppliers ( collectively NDTV ) , defining your and NDTV 's rights and responsibilities with respect to the Service .",72720,691,"To use a Service you may need to register and create an account with a username and a password .",72721,691,"You may need to provide us with certain personal and other information .",72722,691
"NDTV may verify your email address before your account can be used .",72723,691,"You must take due care to protect your username and password against misuse by others and promptly notify NDTV about any misuse .",72725,691,"You may terminate your registration if you no longer wish to use the Service .",72727,691,"NDTV may terminate your registration or restrict your access to certain parts of the Service if NDTV reasonably believes that you have breached the Terms .",72729,691,"As part of the Service , NDTV may provide you with content developed by NDTV or its licensors ( Content ) .",72732,691
"As part of the Service , NDTV may provide you with certain software developed by NDTV or , its licensors ( Software ) .",72737,691,"Your use of Software may be subject to separate terms and conditions that you must accept before using the Software .",72738,691,"You may not copy the Software , except to make a single archival backup copy .",72740,691,"You may not distribute , transfer the right to use , modify , translate , reproduce , resell , sublicense , rent , lease , reverse engineer , or otherwise attempt to discover the source code of or make derivative works of the Software .",72741,691,"You may be able to submit information or content ( Material ) to the Service .",72743,691
"By submitting Material to the Service you grant NDTV a world-wide , non-exclusive , sub-licensable , assignable , fully paid-up , royalty-free , perpetual and irrevocable license to use , copy , publicly perform , display , distribute in any media and modify the Material to incorporate the Material into other works , and to grant similar sublicenses to the extent necessary for NDTV to provide the Service .",72747,691,"You may be able to adjust this grant in the privacy and other settings of the Service .",72748,691,"If the Service is discontinued or canceled , NDTV may permanently delete your data .",72750,691,"Not submit unlawful , offensive , inaccurate , misleading , abusive , pornographic , harassing , libelous , blasphemous , defamatory , obscene , pedophilic , invasive of another 's privacy , hateful , racially or ethically objectionable , disparaging , relating to or encouraging money laundering or gambling , or otherwise inappropriate material .",72755,691,"Obtain any consents , permission or licenses that may be legally required for you to submit any Material ;",72757,691
"Respect the privacy of others ;",72758,691,"Not use any other technologies or initiate other activities that may harm the Service , or the interest or property of the Service users .",72760,691,"NDTV may but has no obligation to :",72763,691,"The third party Content provider is solely responsible for any Content it provides , any warranties to the extent that such warranties have not been disclaimed and for any claims you may have relating to that Content or your use of that Content .",72777,691,"However , NDTV reserves the right to enforce the third party Content license terms against you as a third party beneficiary of those terms .",72778,691
"The third party Content providers are third-party beneficiaries under these Terms and may enforce the provisions that directly concern the Content in which they have rights .",72779,691,"NDTV may be acting as an agent for third party Content provider in providing the Content to you .",72780,691,"NDTV is not a party to the transaction between you and the third party Content provider for such Content .",72781,691,"NDTV may post notices within the Service .",72782,691,"NDTV may also send you notices about products and Services to the email address or telephone number you have provided to us .",72783,691
"Your use of the Service may be or may become subject to charges .",72786,691,"Use of the Service may involve transmission of data through your service provider 's network .",72787,691,"Prices listed within the Service do not include possible data transmission , text message , voice or other service provision charges by your network service provider .",72788,691,"NDTV assumes no responsibility for the payment of any charges of your service providers .",72789,691,"You may pay by credit or debit card , network service provider billing , or other payment methods if available .",72794,691
"If you choose network service provider billing , charges will appear on your mobile phone bill or be deducted from your prepaid account if it is a prepaid account .",72798,691,"Some network service providers may subject your usage of the Service to additional terms and conditions including placing limits on the amount of charges possible with network service provider billing .",72799,691,"Charges in excess of network service provider limits or account balance may be rejected .",72800,691,"You agree to use such Content solely as permitted in these Terms and in any additional terms that you may be presented in the order flow .",72803,691,"The Service may offer subscriptions .",72804,691
"The Service may also offer a trial period .",72806,691,"If your Order involves a trial period ( also known as try-and-buy ) , you may be charged when the trial period expires , unless you cancel in accordance with the subscription/trial terms .",72807,691,"The prices in the Service may change from time to time .",72808,691,"There may be instances where you incur additional charges from your bank or credit card provider based on currency conversion rates used and/or additional fees assessed .",72810,691,"Personal Information is used to operate the NDTV Sites , and we may occasionally inform you of new features , services , and products from the Company .",72815,691
"We may place a text file called a `` cookie '' in the browser files of your computer .",72816,691,"By submitting any ideas , feedback and/or proposals ( `` Feedback '' ) to NDTV through the Service or other means , you acknowledge and agree that : ( 1 ) NDTV may have similar development ideas to the Feedback ; ( 2 ) your Feedback does not contain confidential or proprietary information of you or any third party ; ( 3 ) NDTV is not under any obligation of confidentiality with respect to the Feedback ; ( 4 ) NDTV may freely use , distribute , exploit and further develop and modify Feedback for any purpose ; and ( 5 ) you are not entitled to any compensation of any kind from NDTV .",72818,691,"You may use features in the Service to share your location , status , content , Materials or personal information or to interact with other users , sites and services .",72820,691,"By using these features you agree that NDTV may use and provide that information to other services and persons with whom you choose to interact or share this information .",72821,691,"Users of these services and persons , such as your contacts , may see your location , status and/or personal information .",72822,691
